book_id,title,author,average_listing,isbn,num_pages,publication_date,publisher
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling//Mary GrandPro,4.57,439785960,652,16-09-2006,Scholastic Inc.
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling//Mary GrandPro,4.49,439358078,870,01-09-2004,Scholastic Inc.
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,352,01-11-2003,Scholastic Inc.
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling//Mary GrandPro,4.78,439682584,2690,13-09-2004,Scholastic Inc.
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,152,26-04-2005,Nimble Books
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,3342,12-09-2005,Scholastic Inc.
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,815,01-11-2005,Gramercy Books
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,815,30-04-2002,Del Rey Books
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,215,03-08-2004,Crown
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #2),Douglas Adams//Stephen Fry,4.22,739322206,6,23-03-2005,Random House Audio
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,815,17-01-1996,Wings Books
22,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,55,03-12-2002,Broadway Books
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,256,14-09-2004,Broadway Books
24,In a Sunburned Country,Bill Bryson,4.07,767903862,335,15-05-2001,Broadway Books
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,299,28-08-1990,William Morrow Paperbacks
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,254,28-03-1993,William Morrow Paperbacks
28,Notes from a Small Island,Bill Bryson,3.91,380727501,324,28-05-1997,William Morrow Paperbacks
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,270,28-09-1991,William Morrow Paperbacks
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,1728,25-09-2012,Ballantine Books
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,398,05-09-2003,Houghton Mifflin Harcourt
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien//Alan  Lee,4.5,618260587,1216,01-10-2002,Houghton Mifflin Harcourt
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith//Christopher  Lee//Richard Taylor,4.53,618391002,218,05-11-2003,Houghton Mifflin Harcourt
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,224,15-11-2004,Houghton Mifflin Harcourt
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,208,01-04-2000,Atheneum Books for Young Readers: Richard Jackson Books
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes//Edward Sciranko//Keith Vasconcelles,4,1557344493,48,28-08-1994,Teacher Created Resources
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,144,23-01-2001,Delacorte Press
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,56,10-06-2003,Cherry Lane Music Company
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,228,01-11-2005,The New Press
